Power,Bubble,Shaker,Counting,Merge,Quick,M_Quick
3,5.55,5.43,4.58,4.58,4.7,5.0
4,8.12,7.92,5.58,6.0,6.34,6.52
5,10.1,9.59,6.58,7.32,7.89,7.94
6,12.18,11.58,7.58,8.58,9.33,9.52
7,14.12,13.58,8.58,9.81,10.61,10.69
8,16.2,15.52,9.58,11.0,11.71,11.96
9,18.23,17.5,10.58,12.17,13.21,12.89
10,20.28,19.4,11.58,13.32,14.19,14.32
11,22.29,21.46,12.58,14.46,15.26,15.33
12,24.3,23.42,13.58,15.58,16.41,16.6
